question,input_length,rouge_l,latency_ms,token_count
How long does it take to process outpatient laboratory results?,10,0.3342,965.0,357
I need to restructure an emergency chronic care plan.,10,0.3629,955.0,274
Can I book an inpatient clinical appointment online?,6,0.3202,782.0,447
Can I book an inpatient clinical appointment online?,12,0.2854,867.0,392
Has the new MoH policy changed our clinical referral rules?,8,0.4137,915.0,421
Can I book an inpatient clinical appointment online?,11,0.3196,983.0,367
I need to restructure an emergency chronic care plan.,6,0.4887,807.0,431
Can I book an inpatient clinical appointment online?,8,0.398,1000.0,330
I need to restructure an emergency chronic care plan.,8,0.3522,955.0,382
Can I book an inpatient clinical appointment online?,7,0.4178,1215.0,306
Can I book an inpatient clinical appointment online?,6,0.2778,939.0,268
What documents do I need for a standard clinical lab screening?,17,0.3118,1147.0,248
Can I book an inpatient clinical appointment online?,12,0.3268,1018.0,211
I need to restructure an emergency chronic care plan.,13,0.3373,926.0,424
I need to restructure an emergency chronic care plan.,7,0.2991,872.0,244
How long does it take to process outpatient laboratory results?,6,0.362,858.0,260
I need to restructure an emergency chronic care plan.,9,0.2666,990.0,397
Can I book an inpatient clinical appointment online?,10,0.2404,995.0,418
Has the new MoH policy changed our clinical referral rules?,13,0.2874,1151.0,294
What documents do I need for a standard clinical lab screening?,12,0.3177,943.0,249
Can I book an inpatient clinical appointment online?,9,0.3646,1015.0,266
Can I book an inpatient clinical appointment online?,5,0.3702,780.0,241
Can I book an inpatient clinical appointment online?,7,0.3058,862.0,157
I need to restructure an emergency chronic care plan.,12,0.4255,1023.0,423
How long does it take to process outpatient laboratory results?,7,0.341,1096.0,290
What documents do I need for a standard clinical lab screening?,11,0.4992,997.0,177
Has the new MoH policy changed our clinical referral rules?,10,0.3415,966.0,299
I need to restructure an emergency chronic care plan.,8,0.4025,1065.0,214
I need to restructure an emergency chronic care plan.,7,0.2801,730.0,401
What documents do I need for a standard clinical lab screening?,12,0.2938,692.0,156
Has the new MoH policy changed our clinical referral rules?,10,0.5096,949.0,295
My infant has a sudden rash and high fever - what are my triage options?,17,0.3649,938.0,395
My infant has a sudden rash and high fever - what are my triage options?,17,0.3426,982.0,324
How long does it take to process outpatient laboratory results?,10,0.3199,1069.0,176
Can I book an inpatient clinical appointment online?,7,0.3147,1014.0,394
What documents do I need for a standard clinical lab screening?,8,0.3617,949.0,183
My infant has a sudden rash and high fever - what are my triage options?,17,0.3885,947.0,401
What documents do I need for a standard clinical lab screening?,13,0.4434,1017.0,445
I need to restructure an emergency chronic care plan.,9,0.2813,822.0,177
How long does it take to process outpatient laboratory results?,9,0.3234,928.0,226
Has the new MoH policy changed our clinical referral rules?,10,0.3918,942.0,305
What documents do I need for a standard clinical lab screening?,12,0.3639,713.0,277
What documents do I need for a standard clinical lab screening?,8,0.3514,805.0,435
My infant has a sudden rash and high fever - what are my triage options?,16,0.4518,1096.0,265
Has the new MoH policy changed our clinical referral rules?,9,0.4494,968.0,344
My infant has a sudden rash and high fever - what are my triage options?,14,0.3232,914.0,376
Can I book an inpatient clinical appointment online?,7,0.3702,969.0,369
Can I book an inpatient clinical appointment online?,8,0.3862,1093.0,441
Has the new MoH policy changed our clinical referral rules?,12,0.2709,644.0,180
Has the new MoH policy changed our clinical referral rules?,12,0.278,923.0,200
How long does it take to process outpatient laboratory results?,7,0.2519,1015.0,258
Can I book an inpatient clinical appointment online?,9,0.3254,639.0,191
How long does it take to process outpatient laboratory results?,8,0.3835,773.0,272
How long does it take to process outpatient laboratory results?,10,0.3591,1020.0,432
What documents do I need for a standard clinical lab screening?,11,0.3016,1094.0,230
What documents do I need for a standard clinical lab screening?,10,0.3584,838.0,359
My infant has a sudden rash and high fever - what are my triage options?,13,0.3069,929.0,390
Can I book an inpatient clinical appointment online?,12,0.2777,756.0,166
How long does it take to process outpatient laboratory results?,13,0.3474,870.0,297
I need to restructure an emergency chronic care plan.,11,0.3237,1169.0,294
I need to restructure an emergency chronic care plan.,10,0.3307,1209.0,382
What documents do I need for a standard clinical lab screening?,9,0.4045,986.0,269
Can I book an inpatient clinical appointment online?,11,0.4537,954.0,251
My infant has a sudden rash and high fever - what are my triage options?,13,0.3876,869.0,208
Has the new MoH policy changed our clinical referral rules?,15,0.3682,906.0,265
I need to restructure an emergency chronic care plan.,9,0.2792,833.0,226
Can I book an inpatient clinical appointment online?,11,0.3206,824.0,222
What documents do I need for a standard clinical lab screening?,12,0.4311,1036.0,180
How long does it take to process outpatient laboratory results?,12,0.3146,779.0,307
Has the new MoH policy changed our clinical referral rules?,13,0.3406,920.0,441
Can I book an inpatient clinical appointment online?,11,0.3934,1005.0,374
What documents do I need for a standard clinical lab screening?,16,0.3214,1061.0,389
I need to restructure an emergency chronic care plan.,9,0.3761,1133.0,305
I need to restructure an emergency chronic care plan.,10,0.3923,1079.0,356
Can I book an inpatient clinical appointment online?,7,0.3096,825.0,406
Has the new MoH policy changed our clinical referral rules?,5,0.4834,818.0,402
My infant has a sudden rash and high fever - what are my triage options?,14,0.3434,987.0,191
Has the new MoH policy changed our clinical referral rules?,12,0.4116,880.0,170
My infant has a sudden rash and high fever - what are my triage options?,14,0.377,920.0,315
Has the new MoH policy changed our clinical referral rules?,14,0.3895,1038.0,278
What documents do I need for a standard clinical lab screening?,12,0.4304,972.0,196
How long does it take to process outpatient laboratory results?,6,0.384,872.0,444
Has the new MoH policy changed our clinical referral rules?,8,0.3952,1099.0,160
I need to restructure an emergency chronic care plan.,9,0.3785,1154.0,287
Has the new MoH policy changed our clinical referral rules?,10,0.5161,1018.0,170
How long does it take to process outpatient laboratory results?,5,0.4052,996.0,390
Has the new MoH policy changed our clinical referral rules?,13,0.4004,933.0,376
Can I book an inpatient clinical appointment online?,4,0.3475,848.0,242
Has the new MoH policy changed our clinical referral rules?,8,0.3953,1150.0,373
I need to restructure an emergency chronic care plan.,9,0.2882,1003.0,401
What documents do I need for a standard clinical lab screening?,13,0.3234,934.0,390
Can I book an inpatient clinical appointment online?,8,0.3129,1028.0,359
Can I book an inpatient clinical appointment online?,7,0.3852,844.0,314
I need to restructure an emergency chronic care plan.,7,0.4033,905.0,203
How long does it take to process outpatient laboratory results?,14,0.336,977.0,318
My infant has a sudden rash and high fever - what are my triage options?,17,0.2749,739.0,403
Can I book an inpatient clinical appointment online?,4,0.4358,884.0,355
Has the new MoH policy changed our clinical referral rules?,16,0.3261,972.0,168
My infant has a sudden rash and high fever - what are my triage options?,18,0.4804,1197.0,195
Can I book an inpatient clinical appointment online?,11,0.4214,1021.0,279
Can I book an inpatient clinical appointment online?,9,0.3269,852.0,209
My infant has a sudden rash and high fever - what are my triage options?,14,0.3498,896.0,413
What documents do I need for a standard clinical lab screening?,12,0.4173,961.0,427
My infant has a sudden rash and high fever - what are my triage options?,18,0.2915,927.0,361
What documents do I need for a standard clinical lab screening?,9,0.248,940.0,246
Has the new MoH policy changed our clinical referral rules?,9,0.4508,1026.0,335
Has the new MoH policy changed our clinical referral rules?,7,0.4712,1097.0,405
I need to restructure an emergency chronic care plan.,10,0.3464,835.0,376
What documents do I need for a standard clinical lab screening?,10,0.4253,1176.0,254
Can I book an inpatient clinical appointment online?,11,0.3307,816.0,431
How long does it take to process outpatient laboratory results?,10,0.2539,989.0,297
My infant has a sudden rash and high fever - what are my triage options?,14,0.332,759.0,398
What documents do I need for a standard clinical lab screening?,12,0.328,810.0,164
I need to restructure an emergency chronic care plan.,3,0.3583,1163.0,272
I need to restructure an emergency chronic care plan.,13,0.3326,878.0,231
Can I book an inpatient clinical appointment online?,9,0.3001,986.0,432
What documents do I need for a standard clinical lab screening?,12,0.4336,938.0,432
My infant has a sudden rash and high fever - what are my triage options?,14,0.3073,851.0,197
How long does it take to process outpatient laboratory results?,9,0.382,1060.0,208
My infant has a sudden rash and high fever - what are my triage options?,12,0.4496,917.0,210
I need to restructure an emergency chronic care plan.,8,0.3152,659.0,228
My infant has a sudden rash and high fever - what are my triage options?,17,0.4042,916.0,299
Has the new MoH policy changed our clinical referral rules?,10,0.391,762.0,289
My infant has a sudden rash and high fever - what are my triage options?,13,0.4077,799.0,397
My infant has a sudden rash and high fever - what are my triage options?,15,0.2786,1006.0,274
My infant has a sudden rash and high fever - what are my triage options?,14,0.2631,1090.0,432
How long does it take to process outpatient laboratory results?,8,0.3114,974.0,346
How long does it take to process outpatient laboratory results?,12,0.2991,957.0,410
I need to restructure an emergency chronic care plan.,10,0.4016,971.0,219
What documents do I need for a standard clinical lab screening?,10,0.3103,960.0,291
My infant has a sudden rash and high fever - what are my triage options?,12,0.1847,1002.0,324
Has the new MoH policy changed our clinical referral rules?,12,0.2182,829.0,286
What documents do I need for a standard clinical lab screening?,12,0.4834,952.0,294
I need to restructure an emergency chronic care plan.,7,0.349,1115.0,302
Has the new MoH policy changed our clinical referral rules?,8,0.312,892.0,446
I need to restructure an emergency chronic care plan.,6,0.3674,1145.0,400
How long does it take to process outpatient laboratory results?,10,0.3449,915.0,378
Has the new MoH policy changed our clinical referral rules?,6,0.413,941.0,397
Can I book an inpatient clinical appointment online?,7,0.5516,986.0,320
Has the new MoH policy changed our clinical referral rules?,8,0.3344,1088.0,428
My infant has a sudden rash and high fever - what are my triage options?,15,0.2737,1060.0,383
Can I book an inpatient clinical appointment online?,6,0.4724,1080.0,246
I need to restructure an emergency chronic care plan.,7,0.4369,958.0,272
Has the new MoH policy changed our clinical referral rules?,12,0.3891,848.0,346
How long does it take to process outpatient laboratory results?,8,0.4218,910.0,360
What documents do I need for a standard clinical lab screening?,9,0.3027,1001.0,312
I need to restructure an emergency chronic care plan.,14,0.2959,953.0,392
I need to restructure an emergency chronic care plan.,12,0.3552,1004.0,345
My infant has a sudden rash and high fever - what are my triage options?,12,0.3857,928.0,227
My infant has a sudden rash and high fever - what are my triage options?,17,0.4312,1261.0,168
How long does it take to process outpatient laboratory results?,11,0.3795,973.0,407
Has the new MoH policy changed our clinical referral rules?,9,0.3803,915.0,319
What documents do I need for a standard clinical lab screening?,11,0.4391,829.0,375
