question,input_length,rouge_l,latency_ms,token_count
Can I book an inpatient clinical appointment online?,9,0.3647,904.0,154
What documents do I need for a standard clinical lab screening?,13,0.4448,1025.0,188
Can I book an inpatient clinical appointment online?,6,0.3453,587.0,226
Can I book an inpatient clinical appointment online?,10,0.4593,793.0,168
How long does it take to process outpatient laboratory results?,10,0.3525,1093.0,448
Can I book an inpatient clinical appointment online?,8,0.4266,887.0,225
How long does it take to process outpatient laboratory results?,10,0.4334,705.0,215
What documents do I need for a standard clinical lab screening?,11,0.5329,961.0,307
How long does it take to process outpatient laboratory results?,13,0.3893,681.0,170
How long does it take to process outpatient laboratory results?,9,0.4233,931.0,257
Can I book an inpatient clinical appointment online?,4,0.5118,781.0,277
Can I book an inpatient clinical appointment online?,7,0.3593,601.0,202
How long does it take to process outpatient laboratory results?,11,0.4244,645.0,436
How long does it take to process outpatient laboratory results?,7,0.3999,1000.0,229
What documents do I need for a standard clinical lab screening?,10,0.3298,771.0,233
What documents do I need for a standard clinical lab screening?,10,0.2582,793.0,361
What documents do I need for a standard clinical lab screening?,10,0.4618,1022.0,241
Can I book an inpatient clinical appointment online?,10,0.4039,667.0,320
How long does it take to process outpatient laboratory results?,15,0.4236,802.0,277
How long does it take to process outpatient laboratory results?,9,0.4319,783.0,231
Can I book an inpatient clinical appointment online?,6,0.3872,796.0,205
How long does it take to process outpatient laboratory results?,8,0.3772,813.0,169
How long does it take to process outpatient laboratory results?,9,0.5102,482.0,263
What documents do I need for a standard clinical lab screening?,13,0.4948,551.0,385
How long does it take to process outpatient laboratory results?,9,0.3977,631.0,306
What documents do I need for a standard clinical lab screening?,9,0.3534,1010.0,264
What documents do I need for a standard clinical lab screening?,12,0.4963,887.0,248
How long does it take to process outpatient laboratory results?,7,0.3885,859.0,318
How long does it take to process outpatient laboratory results?,7,0.4628,771.0,185
How long does it take to process outpatient laboratory results?,9,0.4627,853.0,329
Can I book an inpatient clinical appointment online?,7,0.4896,670.0,410
How long does it take to process outpatient laboratory results?,11,0.4556,763.0,424
How long does it take to process outpatient laboratory results?,10,0.3449,911.0,164
What documents do I need for a standard clinical lab screening?,10,0.3886,926.0,283
What documents do I need for a standard clinical lab screening?,9,0.3355,613.0,447
How long does it take to process outpatient laboratory results?,11,0.3432,1011.0,169
What documents do I need for a standard clinical lab screening?,6,0.5218,825.0,372
How long does it take to process outpatient laboratory results?,9,0.3873,848.0,310
How long does it take to process outpatient laboratory results?,9,0.4862,814.0,411
What documents do I need for a standard clinical lab screening?,11,0.3982,793.0,347
Can I book an inpatient clinical appointment online?,8,0.3174,638.0,247
How long does it take to process outpatient laboratory results?,11,0.4303,778.0,172
Can I book an inpatient clinical appointment online?,8,0.4409,735.0,373
What documents do I need for a standard clinical lab screening?,9,0.4318,683.0,416
Can I book an inpatient clinical appointment online?,8,0.3178,923.0,250
How long does it take to process outpatient laboratory results?,10,0.4354,918.0,370
What documents do I need for a standard clinical lab screening?,14,0.4809,579.0,319
Can I book an inpatient clinical appointment online?,5,0.3825,803.0,310
Can I book an inpatient clinical appointment online?,9,0.3765,822.0,213
Can I book an inpatient clinical appointment online?,6,0.3833,631.0,303
Can I book an inpatient clinical appointment online?,6,0.3389,683.0,308
Can I book an inpatient clinical appointment online?,10,0.363,1116.0,359
How long does it take to process outpatient laboratory results?,10,0.4311,697.0,356
Can I book an inpatient clinical appointment online?,9,0.3855,815.0,301
Can I book an inpatient clinical appointment online?,13,0.4142,938.0,215
What documents do I need for a standard clinical lab screening?,9,0.4179,1012.0,365
Can I book an inpatient clinical appointment online?,6,0.5287,885.0,344
Can I book an inpatient clinical appointment online?,6,0.4579,917.0,239
Can I book an inpatient clinical appointment online?,9,0.3258,713.0,441
How long does it take to process outpatient laboratory results?,9,0.4155,874.0,357
Can I book an inpatient clinical appointment online?,8,0.3399,846.0,150
How long does it take to process outpatient laboratory results?,11,0.4536,930.0,296
What documents do I need for a standard clinical lab screening?,12,0.4476,792.0,370
Can I book an inpatient clinical appointment online?,4,0.4458,825.0,314
How long does it take to process outpatient laboratory results?,10,0.3434,670.0,376
How long does it take to process outpatient laboratory results?,12,0.4176,882.0,259
Can I book an inpatient clinical appointment online?,8,0.4218,913.0,392
Can I book an inpatient clinical appointment online?,6,0.4258,745.0,236
Can I book an inpatient clinical appointment online?,7,0.4014,827.0,193
How long does it take to process outpatient laboratory results?,9,0.4953,693.0,413
Can I book an inpatient clinical appointment online?,7,0.3936,974.0,321
What documents do I need for a standard clinical lab screening?,11,0.4819,622.0,270
Can I book an inpatient clinical appointment online?,8,0.4734,810.0,308
What documents do I need for a standard clinical lab screening?,13,0.389,969.0,251
What documents do I need for a standard clinical lab screening?,15,0.3982,747.0,162
What documents do I need for a standard clinical lab screening?,13,0.5148,737.0,275
How long does it take to process outpatient laboratory results?,9,0.4031,639.0,187
How long does it take to process outpatient laboratory results?,8,0.3598,708.0,362
Can I book an inpatient clinical appointment online?,7,0.4341,986.0,444
What documents do I need for a standard clinical lab screening?,9,0.4791,774.0,346
How long does it take to process outpatient laboratory results?,9,0.4605,665.0,354
What documents do I need for a standard clinical lab screening?,11,0.43,859.0,225
Can I book an inpatient clinical appointment online?,8,0.5673,723.0,152
What documents do I need for a standard clinical lab screening?,9,0.3826,733.0,367
What documents do I need for a standard clinical lab screening?,9,0.4913,970.0,240
Can I book an inpatient clinical appointment online?,6,0.3701,857.0,415
How long does it take to process outpatient laboratory results?,8,0.458,824.0,175
Can I book an inpatient clinical appointment online?,4,0.5129,1016.0,277
What documents do I need for a standard clinical lab screening?,9,0.3967,834.0,383
What documents do I need for a standard clinical lab screening?,11,0.4595,1041.0,387
Can I book an inpatient clinical appointment online?,7,0.3721,634.0,421
Can I book an inpatient clinical appointment online?,6,0.418,1015.0,312
How long does it take to process outpatient laboratory results?,8,0.4334,798.0,408
How long does it take to process outpatient laboratory results?,12,0.5716,736.0,430
How long does it take to process outpatient laboratory results?,9,0.4826,882.0,231
Can I book an inpatient clinical appointment online?,11,0.455,757.0,393
How long does it take to process outpatient laboratory results?,11,0.4865,898.0,282
What documents do I need for a standard clinical lab screening?,12,0.484,940.0,291
Can I book an inpatient clinical appointment online?,10,0.4589,780.0,398
Can I book an inpatient clinical appointment online?,8,0.4924,702.0,272
How long does it take to process outpatient laboratory results?,10,0.3964,803.0,375
What documents do I need for a standard clinical lab screening?,13,0.4315,806.0,296
